Question,Answer,Model
Türkiye'nin kurucusu kimdir?,Türkiye'nin kurucusu Atatürk'ü (Mustafa Kemal Atatürk) is. He was a Turkish statesman military officer and reformer who is widely regarded as the founder of modern Turkey. He was born in 1881 in the Ottoman Empire and died in 1938. Atatürk is known for his leadership in the Turkish War of Independence against the Allies and for his efforts to modernize and secularize Turkey. He is considered one of the most important figures in Turkish history and is revered by many Turks as a national hero.,Base
Türkiye'nin kurucusu kimdir?,Mustafa Kemal.,LLama2SA_1500_V2_Tag
Okul tanıma yazısını ne kadar sürede alabilirim?,Okul tanıma yazısını süresi 20 dakika ile 1 ay içinde alabilirsin.,LLama2SA_1500_V2_Tag
Türkiye'nin kurucusu kimdir?,Türkiye’nin kurucusu 1453 yılında İstanbul’da Mecset’in yıldırımıyla efendisi olmuştur. Bu kurucu Mehmet Efendi’nin (1451-1481) adıyla bilinir.,LLama2SA_1500_V2_Tag
Mustafa Kemal Atatürk kimdir?,Atatürk 1881’de İzmir’de doğdu. 1905’de İngiltere’de mezun oldu. 1908’de İngiltere’de doğum yazısının yerine İngiltere’de kimlik belgesi ile birlikte doğa kabul yaptı. 1914’de yurtdışında doğum yazısının yerine birlikte doğa kabul yaptı. 1918’de İngiltere’de doğum yazısının yerine birlikte doğa kabul yaptı.,LLama2SA_1500_V2_Tag
Hızlıgo hızlı okumamı sağlar mı?,Hızlıgo ile hızlı okuyabilirsin.,LLama2SA_1500_V2_Tag
Raunt sınav kazandırır mı?,Yurt dışında görevli öğrenci olarak yurt dışında görevli öğrenci olarak yurt dışında görevli öğrenci olarak öğrenim gören öğrencilerin Raunt s security sınavı kazandırır mı? İki yılın sınıfına kadar kazandırır mı?,LLama2SA_1500_V2_Tag
Mustafa Kemal Atatürk kimdir?,"Mustafa Kemal Atatürk (1881-1938) Türkiye’nin 1. Cumhuriyet Başkanı, 1923-1938 Millî Eğitim Bakanı, 1924-1938 Ordu-Taşkent, 1937-1938 İzmir, 1938-1939 Ankara Ordu Başkanıdır. Atatürk, 1919 yılında Tanzim-i İstilâhlı’nın İmtihanına başladığında başlayarak birlikte yüreğini kaybederken, 1923 yılında TBMM’nin başkanı olduğu yeni Türkiye’de kemalist yeni devrinin başlangıcını sağladı. Atatürk’un hayatının başına, kemalist devrinin başlangıcını, devrinin yeniden yükselişini, devrinin yeniden başlangıçlarını sağladığı yer. Atatürk, Türklerin devrimi, Türkçe, Türkçi ve Türk Ulusunun gelişmesini sağladı.",LLama2SA_41800
Raunt Nedir?,"Raunt, 2022 yılında yayımlanan bir Türkiye’deki öğrenciler için yapılan çeşitli eğitim düzeyiyle yapılan, akademik ve teknik eğitimine kısmen bağlı bir eğitim programıdır. Raunt, eğitimine bağlı öğrenim ve öğrenim düzeyi, öğrenim süresi, öğrenim yapılmasının geçmişi, öğrenme durumunu, öğrenme çalışışının sıralaması, öğrenme süreleri, öğrenme sıralaması, öğrenme durumu, öğrenme çalışışısının sıralaması, öğrenme süreleri, öğrenme sıralaması, öğrenme durumu, öğrenme çalışışısının sıralaması gibi öğrenim düzeylerine bağlı öğrenim sıralamasında kullanılan ölçme ve değerlendirme kılavuzlarının yapıtı, yapılan ölçme ve değerlendirme işlemleri ve bu kılavuzlarının çıkışlıklarının raunt.com web sayfasında görülebilir.",LLama2SA_41800
Fatih Sultan Mehmet Kimdir?,"Fatih Sultan Mehmed Efendi, 1460’de İstanbul’un tahtasında olan, Rumeli’de yakın bir sınıfının başında bulunan Osmanlı Ordusunun Kurucusu, İmparatorluğunun başkası olmakla birlikte, bütün dünyayı bir dünya devrinde yükselişe, esaslarının çıkışlarının kesinlikle kısıtılması ile, İslam’ın dünyasında yenilik ve yeniden doğuşu kalmıştır.",LLama2SA_41800
Türk cumhuriyetinin kurucusu kimdir,Türk Cumhuriyeti’nin Kurucusu Mustafa Kemal Atatürk.,LLama2SA_41800
Okul tanıma yazısını ne kadar sürede kaydedebilirim,Okul tanıma yazısının kaydedilmesi için 30 gün süre alabilirsiniz.,LLama2SA_41800
hızlıgo nedir?,"Hızlıgo hızlı okuma yeteneğinin geliştirilmesini sağlar. İşte Hızlıgo'nun özellikleri: - Hızlı okuma yeteneğinin geliştirilmesini sağlar. - İş ve eğitimde sıkıştırıcı çalışmalar yapar. - Yeni bir okuma dersi için çalışanlar için en iyi yoludur. - İş ve eğitimde sıkıştırıcı çalışmalar yapar. - İş ve eğitimde sıkıştırıcı çalışmalar yapar. - İş ve eğitimde sıkıştırıcı çalışmalar yapar. - İş ve eğitimde sıkıştırıcı çalışmalar yapar. - İş ve eğitimde sıkıştırıcı çalışmalar yapar. - İş ve eğitimde sıkıştırıcı çalışmalar yapar. - İş ve eğitimde sıkıştırıcı çalışmalar yapar. - İş ve eğitimde sıkıştırıcı çalışmalar yapar. - İş ve eğitimde sıkıştırıcı çalışmalar yapar",LLama2SA_41800
Türkiye'nin kurucusu kimdir?,Mustafa Kemal Atatürk,LLama2SA_41800
TBMM kaç yılında açılmıştır,1923,LLama2SA_41800
